# interpolation 
# x qspline integ deriv
0.456 0.892592 0.447124 -0.200937
0.457 0.892397 0.448075 -0.189075
0.458 0.892214 0.449026 -0.177027
0.459 0.892043 0.449977 -0.164793
0.46 0.891885 0.450928 -0.152373
0.461 0.891739 0.451879 -0.139767
0.462 0.891605 0.45283 -0.126975
0.463 0.891485 0.453781 -0.113998
0.464 0.891377 0.454732 -0.100834
0.465 0.891283 0.455683 -0.0874845
0.466 0.891202 0.456634 -0.0739491
0.467 0.891135 0.457586 -0.0602278
0.468 0.891082 0.458537 -0.0463205
0.469 0.891043 0.459488 -0.0322273
0.47 0.891018 0.460439 -0.0179482
0.471 0.891007 0.46139 -0.00348318
0.472 0.891001 0.462295 -0.0151009
0.473 0.890976 0.463186 -0.0347182
0.474 0.890931 0.464077 -0.0540817
0.475 0.890868 0.464968 -0.0731914
0.476 0.890785 0.465859 -0.0920471
0.477 0.890684 0.46675 -0.110649
0.478 0.890564 0.467641 -0.128997
0.479 0.890426 0.468532 -0.147091
0.48 0.89027 0.469423 -0.164932
0.481 0.890096 0.470314 -0.182518
0.482 0.889905 0.471205 -0.199851
0.483 0.889696 0.472096 -0.21693
0.484 0.889471 0.472987 -0.233755
0.485 0.889229 0.473878 -0.250326
0.486 0.888971 0.474769 -0.266643
0.487 0.888696 0.47566 -0.282706
0.488 0.888405 0.476551 -0.298516
0.489 0.888099 0.477442 -0.314072
0.49 0.887777 0.478333 -0.329374
0.491 0.88744 0.479224 -0.344422
0.492 0.887088 0.480115 -0.359216
0.493 0.886722 0.481006 -0.373756
0.494 0.886341 0.481897 -0.388042
0.495 0.885946 0.482788 -0.402075
0.496 0.885537 0.483679 -0.415854
0.497 0.885114 0.48457 -0.429379
0.498 0.884678 0.485461 -0.44265
0.499 0.884229 0.486352 -0.455667
0.5 0.883767 0.487243 -0.46843
0.501 0.883292 0.488134 -0.48094
0.502 0.882805 0.489025 -0.493195
0.503 0.882306 0.489916 -0.505197
0.504 0.881795 0.490807 -0.516945
0.505 0.881272 0.491698 -0.528439
0.506 0.880738 0.492589 -0.539679
0.507 0.880193 0.49348 -0.550666
0.508 0.879637 0.494371 -0.561398
0.509 0.87907 0.495262 -0.571877
0.51 0.878493 0.496153 -0.582102
0.511 0.877906 0.497044 -0.592073
0.512 0.877309 0.497935 -0.60179
0.513 0.876703 0.498826 -0.611253
0.514 0.876087 0.499717 -0.620462
0.515 0.875462 0.500608 -0.629418
0.516 0.874828 0.501499 -0.63812
0.517 0.874186 0.50239 -0.646568
0.518 0.873535 0.503281 -0.654762
0.519 0.872876 0.504172 -0.662702
0.52 0.87221 0.505063 -0.670388
0.521 0.871535 0.505954 -0.677821
0.522 0.870854 0.506845 -0.684999
0.523 0.870165 0.507736 -0.691924
0.524 0.86947 0.508627 -0.698595
0.525 0.868768 0.509518 -0.705012
0.526 0.86806 0.510409 -0.711175
0.527 0.867346 0.5113 -0.717084
0.528 0.866626 0.512191 -0.72274
0.529 0.865901 0.513082 -0.728141
0.53 0.86517 0.513973 -0.733289
0.531 0.864434 0.514864 -0.738183
0.532 0.863694 0.515756 -0.742823
0.533 0.862949 0.516647 -0.74721
0.534 0.862199 0.517538 -0.751342
0.535 0.861446 0.518429 -0.75522
0.536 0.860689 0.51932 -0.758845
0.537 0.859928 0.520211 -0.762216
0.538 0.859165 0.521102 -0.765333
0.539 0.858398 0.521993 -0.768196
0.54 0.857628 0.522884 -0.770805
0.541 0.856856 0.523775 -0.773161
0.542 0.856082 0.524666 -0.775262
0.543 0.855306 0.525557 -0.77711
0.544 0.854528 0.526448 -0.778704
0.545 0.853749 0.527339 -0.780044
0.546 0.852968 0.52823 -0.78113
0.547 0.852186 0.529121 -0.781962
0.548 0.851404 0.530012 -0.782541
0.549 0.850621 0.530903 -0.782865
0.55 0.849839 0.531794 -0.782936
0.551 0.849056 0.532685 -0.782753
0.552 0.848273 0.533576 -0.782316
0.553 0.847491 0.534467 -0.781625
0.554 0.84671 0.535358 -0.780681
0.555 0.84593 0.536249 -0.779482
0.556 0.845151 0.53714 -0.77803
