# interpolation 
# x linterp qspline cspline
0.353 0.682819 0.671279 0.712753
0.354 0.682373 0.670818 0.712142
0.355 0.681927 0.670358 0.71153
0.356 0.681481 0.669897 0.710917
0.357 0.681035 0.669437 0.710303
0.358 0.68059 0.668977 0.709689
0.359 0.680144 0.668517 0.709074
0.36 0.679698 0.668057 0.708458
0.361 0.679252 0.667597 0.707841
0.362 0.678806 0.667137 0.707224
0.363 0.678361 0.666677 0.706606
0.364 0.677915 0.666218 0.705987
0.365 0.677469 0.665758 0.705367
0.366 0.677023 0.665299 0.704747
0.367 0.676577 0.664839 0.704126
0.368 0.676132 0.66438 0.703504
0.369 0.675686 0.663921 0.702882
0.37 0.67524 0.663462 0.702258
0.371 0.674794 0.663003 0.701635
0.372 0.674348 0.662544 0.70101
0.373 0.673903 0.662086 0.700385
0.374 0.673457 0.661627 0.699759
0.375 0.673011 0.661169 0.699132
0.376 0.672565 0.66071 0.698505
0.377 0.672119 0.660252 0.697877
0.378 0.671674 0.659794 0.697249
0.379 0.671228 0.659336 0.696619
0.38 0.670782 0.658878 0.695989
0.381 0.670336 0.65842 0.695359
0.382 0.66989 0.657962 0.694728
0.383 0.669444 0.657504 0.694096
0.384 0.668999 0.657047 0.693464
0.385 0.668553 0.656589 0.692831
0.386 0.668107 0.656132 0.692197
0.387 0.667661 0.655675 0.691563
0.388 0.667215 0.655218 0.690928
0.389 0.66677 0.654761 0.690292
0.39 0.666324 0.654304 0.689656
0.391 0.665878 0.653847 0.68902
0.392 0.665432 0.65339 0.688383
0.393 0.664986 0.652933 0.687745
0.394 0.664541 0.652477 0.687106
0.395 0.664095 0.65202 0.686467
0.396 0.663649 0.651564 0.685828
0.397 0.663203 0.651108 0.685188
0.398 0.662757 0.650651 0.684547
0.399 0.662312 0.650195 0.683906
0.4 0.661866 0.649739 0.683264
0.401 0.66142 0.649284 0.682622
0.402 0.660974 0.648828 0.681979
0.403 0.660528 0.648372 0.681336
0.404 0.660083 0.647917 0.680692
0.405 0.659637 0.647461 0.680048
0.406 0.659191 0.647006 0.679403
0.407 0.658745 0.646551 0.678758
0.408 0.658299 0.646095 0.678112
0.409 0.657854 0.64564 0.677466
0.41 0.657408 0.645185 0.676819
0.411 0.656962 0.64473 0.676172
0.412 0.656516 0.644276 0.675524
0.413 0.65607 0.643821 0.674876
0.414 0.655625 0.643367 0.674227
0.415 0.655179 0.642912 0.673578
0.416 0.654733 0.642458 0.672928
0.417 0.654287 0.642004 0.672278
0.418 0.653841 0.641549 0.671628
0.419 0.653396 0.641095 0.670977
0.42 0.65295 0.640641 0.670325
0.421 0.652504 0.640188 0.669674
0.422 0.652058 0.639734 0.669021
0.423 0.651612 0.63928 0.668369
0.424 0.651166 0.638827 0.667716
0.425 0.650721 0.638373 0.667062
0.426 0.650275 0.63792 0.666408
0.427 0.649829 0.637467 0.665754
0.428 0.649383 0.637014 0.665099
0.429 0.648937 0.63656 0.664444
0.43 0.648492 0.636108 0.663789
0.431 0.648046 0.635655 0.663133
0.432 0.6476 0.635202 0.662477
0.433 0.647154 0.634749 0.661821
0.434 0.646708 0.634297 0.661164
0.435 0.646263 0.633844 0.660506
0.436 0.645817 0.633392 0.659849
0.437 0.645371 0.63294 0.659191
0.438 0.644925 0.632488 0.658533
0.439 0.644479 0.632036 0.657874
0.44 0.644034 0.631584 0.657215
0.441 0.643588 0.631132 0.656556
0.442 0.643142 0.63068 0.655896
0.443 0.642696 0.630229 0.655237
0.444 0.64225 0.629777 0.654576
0.445 0.641805 0.629326 0.653916
0.446 0.641359 0.628874 0.653255
0.447 0.640913 0.628423 0.652594
0.448 0.640467 0.627972 0.651933
0.449 0.640021 0.627521 0.651271
0.45 0.639576 0.62707 0.650609
0.451 0.63913 0.626619 0.649947
0.452 0.638684 0.626169 0.649285
0.453 0.638238 0.625718 0.648622
0.454 0.637792 0.625268 0.647959
0.455 0.637347 0.624817 0.647296
0.456 0.636901 0.624367 0.646632
0.457 0.636455 0.623917 0.645969
0.458 0.636009 0.623467 0.645305
0.459 0.635563 0.623017 0.644641
0.46 0.635118 0.622567 0.643977
0.461 0.634672 0.622117 0.643312
0.462 0.634226 0.621667 0.642647
0.463 0.63378 0.621218 0.641982
0.464 0.633334 0.620768 0.641317
0.465 0.632888 0.620319 0.640652
0.466 0.632443 0.619869 0.639986
0.467 0.631997 0.61942 0.639321
0.468 0.631551 0.618971 0.638655
0.469 0.631105 0.618522 0.637989
0.47 0.630659 0.618073 0.637322
