# interpolation 
# x linterp integ
0.453 0.897979 0.436742 
0.454 0.897597 0.43764 
0.455 0.897214 0.438537 
0.456 0.896832 0.439434 
0.457 0.89645 0.440331 
0.458 0.896068 0.441227 
0.459 0.895685 0.442123 
0.46 0.895303 0.443019 
0.461 0.894921 0.443914 
0.462 0.894538 0.444808 
0.463 0.894156 0.445703 
0.464 0.893774 0.446597 
0.465 0.893392 0.44749 
0.466 0.893009 0.448383 
0.467 0.892627 0.449276 
0.468 0.892245 0.450169 
0.469 0.891862 0.451061 
0.47 0.89148 0.451952 
0.471 0.891098 0.452844 
0.472 0.890609 0.453735 
0.473 0.890087 0.454625 
0.474 0.889565 0.455515 
0.475 0.889043 0.456404 
0.476 0.888521 0.457293 
0.477 0.887999 0.458181 
0.478 0.887477 0.459069 
0.479 0.886956 0.459956 
0.48 0.886434 0.460843 
0.481 0.885912 0.461729 
0.482 0.88539 0.462615 
0.483 0.884868 0.4635 
0.484 0.884346 0.464384 
0.485 0.883824 0.465268 
0.486 0.883302 0.466152 
0.487 0.88278 0.467035 
0.488 0.882258 0.467918 
0.489 0.881736 0.4688 
0.49 0.881214 0.469681 
0.491 0.880692 0.470562 
0.492 0.88017 0.471442 
0.493 0.879648 0.472322 
0.494 0.879126 0.473202 
0.495 0.878604 0.474081 
0.496 0.878082 0.474959 
0.497 0.87756 0.475837 
0.498 0.877038 0.476714 
0.499 0.876516 0.477591 
0.5 0.875994 0.478467 
0.501 0.875472 0.479343 
0.502 0.87495 0.480218 
0.503 0.874428 0.481093 
0.504 0.873906 0.481967 
0.505 0.873385 0.482841 
0.506 0.872863 0.483714 
0.507 0.872341 0.484586 
0.508 0.871819 0.485458 
0.509 0.871297 0.48633 
0.51 0.870775 0.487201 
0.511 0.870253 0.488071 
0.512 0.869731 0.488941 
0.513 0.869209 0.489811 
0.514 0.868687 0.49068 
0.515 0.868165 0.491548 
0.516 0.867643 0.492416 
0.517 0.867121 0.493284 
0.518 0.866599 0.49415 
0.519 0.866077 0.495017 
0.52 0.865555 0.495883 
0.521 0.865033 0.496748 
0.522 0.864511 0.497613 
0.523 0.863989 0.498477 
0.524 0.863467 0.499341 
0.525 0.862945 0.500204 
0.526 0.862423 0.501067 
0.527 0.861901 0.501929 
0.528 0.861379 0.50279 
0.529 0.860857 0.503651 
0.53 0.860335 0.504512 
0.531 0.859814 0.505372 
0.532 0.859292 0.506232 
0.533 0.85877 0.507091 
0.534 0.858248 0.507949 
0.535 0.857726 0.508807 
0.536 0.857204 0.509665 
0.537 0.856682 0.510522 
0.538 0.85616 0.511378 
0.539 0.855638 0.512234 
0.54 0.855116 0.513089 
0.541 0.854594 0.513944 
0.542 0.854072 0.514798 
0.543 0.85355 0.515652 
0.544 0.853028 0.516506 
0.545 0.852506 0.517358 
0.546 0.851984 0.518211 
0.547 0.851462 0.519062 
0.548 0.85094 0.519914 
0.549 0.850418 0.520764 
0.55 0.849896 0.521614 
0.551 0.849374 0.522464 
0.552 0.848852 0.523313 
0.553 0.84833 0.524162 
0.554 0.847808 0.52501 
0.555 0.847286 0.525857 
0.556 0.846764 0.526704 
0.557 0.846243 0.527551 
0.558 0.845721 0.528397 
0.559 0.845199 0.529242 
0.56 0.844677 0.530087 
0.561 0.844155 0.530932 
0.562 0.843633 0.531776 
0.563 0.843111 0.532619 
0.564 0.842589 0.533462 
0.565 0.842067 0.534304 
0.566 0.841545 0.535146 
0.567 0.841023 0.535987 
0.568 0.840501 0.536828 
0.569 0.839979 0.537668 
0.57 0.839457 0.538508 
0.571 0.838935 0.539347 
0.572 0.838413 0.540186 
0.573 0.837891 0.541024 
0.574 0.837369 0.541862 
0.575 0.836847 0.542699 
0.576 0.836325 0.543535 
0.577 0.835803 0.544371 
0.578 0.835281 0.545207 
0.579 0.834759 0.546042 
0.58 0.834237 0.546876 
0.581 0.833715 0.54771 
0.582 0.833193 0.548544 
0.583 0.832672 0.549377 
0.584 0.83215 0.550209 
0.585 0.831628 0.551041 
0.586 0.831106 0.551872 
0.587 0.830584 0.552703 
0.588 0.830062 0.553534 
0.589 0.82954 0.554363 
0.59 0.829018 0.555193 
0.591 0.828496 0.556021 
0.592 0.827974 0.55685 
0.593 0.827452 0.557677 
0.594 0.82693 0.558505 
0.595 0.826408 0.559331 
0.596 0.825886 0.560157 
0.597 0.825364 0.560983 
0.598 0.824842 0.561808 
0.599 0.82432 0.562633 
0.6 0.823798 0.563457 
0.601 0.823276 0.56428 
0.602 0.822754 0.565103 
0.603 0.822232 0.565926 
0.604 0.82171 0.566748 
0.605 0.821188 0.567569 
0.606 0.820666 0.56839 
0.607 0.820144 0.569211 
0.608 0.819622 0.57003 
0.609 0.819101 0.57085 
0.61 0.818579 0.571669 
